"title","totalScore","reviewsCount","price","street","city","categoryName","rank","popularTimesLiveText"
"Asia-Wok","4.3","263","€10–20","Sonnenstraße 57","Albstadt","Chinese restaurant","141",
"Dal Maestro","4.4","150","€10–20","Zeppelinstraße 3","Rosenfeld","Italian restaurant","139",
"Gasthaus ALB Traum","4.5","500","€20–30","Heubergstraße 48","Albstadt","Restaurant","134",
"Landhaus Obere Säge","4.5","210",,"Ob. Säge 1","Schömberg","Hotel","131",
"Gaststätte Glufamichel","4.3","53","€10–20","Marktpl. 19","Hechingen","German restaurant","132",
"Gasthaus Zur Ölmühle","4.1","439","€20–30","u. Säge 8","Schömberg","German restaurant","136",
"Trattoria Pizzeria Rose - Rose Aime","4.8","121","€10–20","Ebinger Str. 36","Balingen","Pizza restaurant","130",
"Gasthaus zum Schönhaldenfelsen","4.2","68","$$","Vor dem Härtle 2","Albstadt","Restaurant","129",
"Gasthof Adler - Klaus Sauter","4.7","237","£££","Hohnerstraße 3","Ratshausen","German restaurant","128",
"Gasthaus Rad Neuweiler","4.5","326","€20–30","Auf Neuweiler 1","Albstadt","Gastropub","133",
"Gasthof zum Plettenberg","4.7","551","€20–30","Bahnhofstraße 2","Schömberg","German restaurant","126",
"McDonald's","3.6","1879","€10–20","Lange Str. 13","Balingen","Fast food restaurant","125","Not too busy"
"China Restaurant Am Schloss","4.3","204","€20–30","Alleenstraße 15","Geislingen","Chinese restaurant","124",
"Gasthof Fohlenweide - Heike Maier","4.6","510","€20–30","Fohlenweide 1","Albstadt","Restaurant","123",
"Asia Wok","4.3","435","€10–20","Ebertstraße 14","Balingen","Vietnamese restaurant","127",
"Gasthof Restaurant ADLER","4.5","219","€30–40","Schloßstraße 1","Bisingen","German restaurant","121",
"Landhaus Post Restaurant und Biergarten","4","2",,"Im Gäßle 5","Albstadt","Restaurant","120",
"Maxi‘s Spätzle mit Soß","4.3","316","€20–30","Degerfeld 1","Albstadt","Restaurant","135",
"Frühstückscafé","4.8","143","€10–20","u. Vorstadt 20","Albstadt","Breakfast restaurant","122",
"Landgasthof Lamm","4.8","155",,"Kornbühlstraße 56","Burladingen","German restaurant","117",
"Safran Kebap","4.2","121","€1–10","Goldschmiedstraße 2","Hechingen","Kebab shop","116",
"Gaststätte Fürstenbergstüble","4.3","37",,"Schloßackerstraße 3","Hechingen","Gastropub","115",
"Landgasthaus Wiesental - Margit Schwark","4.6","345","€20–30","Balinger Weg 22","Dautmergen","German restaurant","114",
"McDonald's","3.6","1562","€10–20","Truchtelfinger Str. 64","Albstadt","Fast food restaurant","113","Busier than usual"
"ASIA IMBISS HOANG","4.1","266","€1–10","Schweinweiher 4","Albstadt","Restaurant","118","Now: Usually a little busy"
"Restaurant Waldschenke","4.1","1176","$$","Beim Stausee 4 72355 Schömberg","Balingen","Restaurant","112",
"Traufganghütte Brunnental","4.7","1339","€20–30","Raiten 1","Albstadt-Laufen","German restaurant","111",
"Höhengasthof - Wanderheim Nägelehaus","4","816",,"Am Raichberg 1","Albstadt - Onstmettingen","Inn","109",
"Hoa Sen - Asiatische Küche","4.7","142","€10–20","Pfarrstraße 20","Albstadt","Asian restaurant","108",
"Qingshan Restaurant","4.8","324","€10–20","Hechinger Str. 61","Albstadt","Chinese restaurant","107",
"Neues Club Kate","4.6","121","€20–30","Wilhelmstraße 110","Albstadt","Greek restaurant","106",
"Encanto Hotel | Restaurant","4.9","7","$123","Gratweg 2","Balingen","Restaurant","105",
"Beim Simon / Waldeck","4.6","84","€10–20","Enger Rain 1","Bitz","Bar","110",
"Kaiser Garten","4.2","1046","€20–30","Ebingertalstraße 52","Albstadt","Chinese restaurant","103","Not too busy"
"Restaurant Syrenka","4.8","163","€10–20","Hausener Str. 26","Meßstetten","Polish restaurant","102",
"Hotel Restaurant Pfeffermühle","4.1","443","£93","Wilhelm-Kraut-Straße 52","Balingen","Restaurant","119",
"Restaurant Labyrinth","4.2","204","€10–20","Weilstetter Str. 43","Balingen","Restaurant","100",
"Restaurant Apfelbaum","4.2","54","€20–30","Langwatte 35","Albstadt","Restaurant","99",
"La Pergola","4.4","348","€20–30","Viehmarktpl. 8","Balingen","Italian restaurant","98",
"Grillplatz Burg Hohenzollern","5","1",,,"Bisingen","Grill","104",
"Asia Pham - Schnellrestaurant","4.3","139","€10–20","Grüngrabenstraße 25","Albstadt","Asian restaurant","97","Now: Usually not too busy"
"Orient Imbiss Tailfingen","4.5","179","€1–10","Goethestraße 72","Albstadt","Restaurant","95","Now: Usually not too busy"
"Rosenhof","4.6","155","€20–30","Rote Haldeweg 59","Rosenfeld","Restaurant","94",
"Pizza Hot Balingen - Pizza, Pasta, Salate","4","215","€10–20","Geislinger Str. 64","Balingen","Pizza restaurant","92","Now: Usually not too busy"
"Krone Lautlingen","4.6","397","$142","Laufener Str. 19","Albstadt","Restaurant","91",
"Ciceks Imbiss","4.2","284","€1–10","Bahnhofstraße 46","Balingen","Turkish restaurant","96","Now: Usually not busy"
"Restaurant Reiterstube - Bisingen / Hohenzollern","4.4","133","€20–30","Sulzenweg 1","Bisingen","Restaurant","90",
"Ebinger Pizza Service",,"0",,"Sonnenstraße 89","Albstadt","German restaurant","88",
"KOUZINA ALBSTADT","4.7","463","€20–30","u. Vorstadt 37","Albstadt","Greek restaurant","87",
"Akropolis Greek Restaurant - Albstadt","4.8","560","€20–30","Thanheimer Str. 16","Albstadt","Greek restaurant","85",
"Zum Kesselhaus","4.7","652","€20–30","Ambrosius-Heim-Straße 22","Burladingen","Restaurant","83",
"EAT HAPPY","4.6","8",,"Kientenstraße 57","Albstadt","Sushi takeaway","101","Now: Usually not busy"
"Gasthof Adler Inh. Paul Fetzer","4.8","83",,"Leo-Saurer-Straße 6","Hechingen","Inn","93",
"Casa Pergola Ristorante Pizzeria","4.3","157","€10–20","Schütte 18","Albstadt","Pizza restaurant","81","Now: Usually a little busy"
"besto.","4.6","76","€20–30","Bahnhofstraße 3","Albstadt","Restaurant","77",
"EAT HAPPY","4.6","9",,"Albrechtstraße 33","Balingen","Sushi takeaway","84",
"AL MAESTRO AM STAUSEE","4.6","499","€10–20","Beim Stausee 2","Schömberg","Italian restaurant","76","Less busy than usual"
"Cicek Imbiss Burladingen","4.5","338","€1–10","Hauptstraße 43","Burladingen","Takeout Restaurant","75","Now: Usually not too busy"
"Berghotel Zollersteighof","4.4","658","$136","Zollersteighof 2","Albstadt","Restaurant","74","Not too busy"
"Leos Cafe Bar Ristorante","4","452","€10–20","Marktstraße 21","Albstadt","Italian restaurant","78","Now: Usually not too busy"
"Hotel Post & Restaurant","4.4","266","£99","Killertalstraße 19","Jungingen","Hotel","72",
"Imbiss Asia Linh","4.4","74","€1–10","Ob. Vorstadt 33","Albstadt","Asian restaurant","71",
"Restaurant-Karl-Linder-Haus","4.6","313","€20–30","Kientenstraße 70","Albstadt","Restaurant","82",
"Asia Wok Burladingen","3.9","38","€1–10","Josef-Mayer-Straße 5","Burladingen","Restaurant","69",
"Zollerstuben Da Biagio Hechingen","4.4","125","€10–20","Schulstraße 4","Hechingen","Pizza restaurant","73",
"Restaurant Waagschale","4.4","69","€1–10","Eckenfelderstraße 27","Balingen","Restaurant","68",
"Ristorante Valle Verde","4.6","42","€20–30","Im Laber 4","Ravenstein","Restaurant","109",
"China Restaurant Bambus","4","374","€10–20","Unter dem Malesfelsen 108","Albstadt","Restaurant","66","Less busy than usual"
"Zum Hirschen","4.6","76","$$","Restaurant zum Hirschen, Dörzbacher Str. 38","Bad Mergentheim","Restaurant","108",
"Landgut Marienhöhe","4.7","84",,"Marienhöhe 1","Osterburken","Wedding venue","107",
"Khanh Ly Asia Bistro","4.2","144","€1–10","Gammertinger Str. 42","Hechingen","Vietnamese restaurant","70","Now: Usually not too busy"
"Die Bäckerei in Bauernhand - Forchtenberg","4.1","274","€1–10","Bahnhofstraße 12-14","Forchtenberg","Bakery","106",
"Museum Restaurant","4.4","282","€10–20","Zollernstraße 2","Hechingen","Indian restaurant","63",
"Ce La Vie","4.6","379","€20–30","Adlerstraße 5","Balingen","Restaurant","67",
"Das Waldheim - Biergarten - Restaurant - Festsaal","3.9","468","€10–20","Waldheim 1","Albstadt","Beer garden","62","Now: Usually not too busy"
"Tank & Rast Raststätte Jagsttal Ost","4","1697",,"BAB81, Rastplatz Jagsttal O","Widdern","Rest stop","105","A little busy"
"Alb Hotel Schalksburg","4.3","175","£66","Balinger Str. 96","Albstadt","Hotel","64",
"Burgmuseum","4","4",,"Schloßstraße 20","Jagsthausen","Restaurant","102",
"Poseidon Zollerblick","4.5","1153","€20–30","Schlatter Str. 20","Hechingen","Greek restaurant","65","Not too busy"
"Weißbacher Pizza & Kebabhaus","3.9","190","€1–10","Hauptstraße 11","Weißbach","Pizza Takeout","101",
"Hofmann’s Metzgerei Catering & Partyservice","4.4","19",,"Friedrichstraße 10","Osterburken","Butchers","104",
"Sonne Restaurant Café","4.8","102","€20–30","Marktpl. 8","Schömberg","Restaurant","60",
"Bauernscheuer","4.4","412","€20–30","Bauernscheuer 6","Albstadt","Greek restaurant","59","Now: Usually a little busy"
"Brauhaus Zollernalb GmbH","4.1","869","€20–30","Bahnhof 4","Albstadt","German restaurant","58","A little busy"
"Ristorante Taverna","4.4","455","€10–20","Wilhelmstraße 23","Balingen","Italian restaurant","56","Less busy than usual"
"VinaThai Restaurant in Albstadt","4.1","473","€10–20","Schmiechastraße 50","Albstadt","Vietnamese restaurant","53","Less busy than usual"
"Hotel Restaurant Thum","4.4","465","$98","Klausenweg 20","Balingen","Hotel","52",
"Restaurant Ganesha Palace, Original Indische Spezialitäten","4.6","336","€10–20","Hechinger Str. 59/1","Albstadt","Indian restaurant","51","Now: Usually a little busy"
"Imbiss Pitta Pan","4.7","692","€1–10","Herrenackerstraße 11","Hechingen","Greek restaurant","57",
"Restaurant Zum Hirschgulden","3.7","103","€30–40","Charlottenstraße 27","Balingen","Restaurant","50",
"Sushi Daily","4.7","15",,"Lange Str. 24","Balingen","Sushi takeaway","54",
"Burgero","4.8","161","€10–20","Schmiechastraße 53","Albstadt","Fast food restaurant","48","As busy as it gets"
"Gasthaus Rose Bisingen by MJ´s Restaurant","4.4","586","€20–30","Hauptstraße 14","Bisingen","German restaurant","47","A little busy"
"Mangal Restaurant Grill und Pidehaus Balingen","3.4","63","€20–30","Hermann-Berg-Straße 6","Balingen","Turkish restaurant","45","Now: Usually not too busy"
"Vina Thai Imbiss","4.1","135","€10–20","Bahnhofstraße 5","Balingen","Takeaway","44","Now: Usually not too busy"
"Restaurant LC-Gourmet","4.3","482","€20–30","Poststraße 30","Albstadt","Chinese restaurant","43",
"Gaststätte Kupferpfanne","4.6","588","€20–30","Schadenweilerstraße 41","Hechingen","Restaurant","49","Not too busy"
"Restaurant Schloßberg Hechingen","4.5","256","€10–20","Schloßackerstraße 2","Hechingen","Restaurant","41",
"Besenwirtschaft Aries Widdern","4.4","70","€10–20","Keltergasse 3","Widdern","Restaurant","100",
"Pipasa Pizza Service und Hot & Spicy pizza","3.6","72","€10–20","Brunnengasse 1","Osterburken","Restaurant","98",
"China Restaurant Brücke","4.2","243","€10–20","Alte Hechinger Str. 16","Balingen","Chinese restaurant","42","Now: Usually not too busy"
"Ochsen","3.4","10",,"Ginsbacher Str. 37","Krautheim","Restaurant","96",
"Gaststätte S. Öres",,"0",,"Schulstraße 1","Krautheim","Restaurant","95",
"Waldcamping Hollenbacher Lake","4.5","768",,"Mönchswald 1","Mulfingen","Campsite","103",
"Werners Kneipe - Werner Wittmann","4.3","560","€10–20","Stifterstraße 2","Ravenstein","Restaurant","94",
"Brasilianos - Catering","4.3","6",,"Ahornweg 2","Ravenstein","Caterer","99","Now: Usually not busy"
"Zum Lamm","4.1","84","€20–30","Unterkessacher Str. 5","Widdern","Greek restaurant","93",
"Gasthaus zum Ochsen","4.8","18","$","Nitzenhäuser Str. 3","Mulfingen","Vegan restaurant","91",
"Sükrü Efe Kebab","4.5","253","€1–10","Am Zehntkeller 3","Osterburken","Kebab shop","90","Now: Usually as busy as it gets"
"Angelos Slakhos Gaststätte","4.2","34","£","Marienstraße 13","Mulfingen","Restaurant","89",
"Bikerbahnhof jetzt LOK7119","4.3","222","€10–20","Bahnhofstraße 11","Weißbach","Beer garden","87",
"Gaststätte Sportheim Mulfingen","4.3","66","€10–20","Bachgasse 94","Mulfingen","Pizza restaurant","86",
"Stefan’s Nudeltöpfle","5","2",,"Markelsheimer Str. 33","Bad Mergentheim","Snack bar","97",
"Gasthaus zur Rose","4.4","278","$$","Grünewaldstraße 8","Bad Mergentheim","German restaurant","85",
"La Corona","4.5","149","€1–10","Ingelfinger Str. 11","Ingelfingen","Italian restaurant","83",
"Café Köpfle","4.4","389","€10–20","Bahnhofstraße 24","Osterburken","Pastry shop","84",
"Gasthaus zum Kreuz","4.4","124",,"Bobstadter Str. 2","Assamstadt","Greek restaurant","81",
"Restaurant Olive Dörzbach","4.5","364","€10–20","Hauptstraße 5","Dörzbach","Greek restaurant","82",
"Capri","4.3","212","€10–20","Galgensteige 36","Osterburken","Pizza restaurant","92",
"Restaurant Zoller","4.8","314","€20–30","Schäfergasse 1","Burladingen","Restaurant","36","Now: Usually a little busy"
"Restaurant Plutos Eck Inh.Hans Jürgen Blutbacher","4.6","51",,"Auchtenstraße 6","Bitz","Restaurant","33",
"Indisches Restaurant Kurkuma","4.9","77","€20–30","Neue Str. 7","Balingen","Indian restaurant","32",
"Krokodil","4","1692","€20–30","Grünewaldstraße 20","Balingen","Restaurant","37","Not too busy"
"Rotes Schloss","4.4","723",,"Schloßstraße 17","Jagsthausen","Restaurant","80",
"Gaststätte Paradies - Sandra Stier","4.7","89","€10–20","Vaihinger-Hof-Straße 7","Zimmern unter der Burg","German restaurant","31",
"Thai-Imbiss Patty","4.2","25","€1–10","Allmand 5","Forchtenberg","Restaurant","79",
"Gasthof „Zum Lamm“ - Familie Spindler","4.6","100",,"Marktstraße 12","Forchtenberg","Inn","77",
"Vabene Restaurant","4.3","636","€20–30","Friedrichstraße 5","Balingen","Italian restaurant","35","Less busy than usual"
"Hotel Märchenwald","4.4","219",,"Boschstraße 14","Osterburken","Hotel","76",
"Gasthaus zum Baschl","4.7","413",,"Herrenzimmerner Str. 9","Bad Mergentheim","Restaurant","75",
"Gasthaus Zum Ochsen","4.4","43","$","Georg-Metzler-Straße 21","Ravenstein","Brewpub","74",
"Mostbesen Mulfingen","5","4",,"Wertstraße 15","Mulfingen","Gastropub","73",
"BISTRO RETURN in Osterburken","4.2","462","€10–20","Adelsheimer Str. 1","Osterburken","Restaurant","71",
"Gasthaus Hügel","4.8","80",,"Dörzbacher Str. 10","Bad Mergentheim","Restaurant","72",
"Restaurant Kaiserhöhe","4.4","78","€20–30","Im Laber 4a","Ravenstein","Restaurant","70",
"Gasthof zum Ochsen","4.3","311","$93","Rathausweg 10","Schöntal","German restaurant","68",
"Gasthof zur Post","4.5","705",,"Honigsteige 1","Schöntal","Restaurant","78",
"Adriatica Pizzeria","3.9","150","€10–20","Bahnhofstraße 2","Krautheim","Pizza restaurant","67","Now: Usually not too busy"
"Restaurant Zum Brunnenwirt","4.7","287","€20–30","Richard-Wagner-Straße 2","Ravenstein","German restaurant","66",
"Hirsch","4.6","55","€20–30","Rausse 2","Burladingen","Swabian restaurant","20",
"Herbsthäuser Brauereigaststätte","4.6","443","€20–30","Alte Kaiserstraße 28","Bad Mergentheim","Microbrewery","65",
"Pascha Kebaphaus Luca Engelhardt","3.8","158","€1–10","Bahnhofstraße 8","Osterburken","Kebab shop","69","Now: Usually as busy as it gets"
"Vitos","4.8","56","€1–10","u. Vorstadt 23","Albstadt","Pizza Takeout","19","Now: Usually not too busy"
"Gasthaus Linde Weldingsfelden","4.7","305","$94","An d. Linde 3","Ingelfingen","Restaurant","64",
"Gasthaus zur Sonne Herrenzimmern (Niederstetten, NICHT Bösingen!)","4.5","13",,"Herrenzimmern 31","Niederstetten","Gastropub","63",
"SCHMEX - EINFACH. GUT. ESSEN.","4.3","441","€10–20","gegenüber, Jakob-Beutter-Straße 14, Steinachstraße 11","Balingen","Restaurant","17","Not too busy"
"Kräuterstüble","4.9","18","€10–20","Max-Eyth-Straße 3","Schöntal","Beer garden","61",
"Restaurant Rose","4","5",,"Rathausstraße 45","Krautheim","Restaurant","62",
"Gasthaus Berghütte","4.5","562","€20–30","Berghof","Meßstetten","German restaurant","18","Not busy"
"Restaurant & Bar Alt Ebingen","4.7","57","€10–20","Langwatte 51","Albstadt","Restaurant","15",
"Balkan Lona Grill","4.5","37","€10–20","Konrad-Adenauer-Straße 54","Albstadt","Fast food restaurant","14","Now: Usually not too busy"
"Singapore","4.4","868","$","Am Wettbach 2","Balingen","Chinese restaurant","11",
"b2 - Bio pur GmbH","4.5","323",,"Bahnhofstraße 22","Balingen","Organic shop","12","Busier than usual"
"Cafe am Markt & Kronenkeller","4.6","251","€1–20","Kronenstraße 1","Albstadt","Cafe","16","Now: Usually not too busy"
"NABOO Restaurant - Cafe - Bar","4.7","703","€20–30","Wilhelmstraße 55","Balingen","European restaurant","9","Not too busy"
"Sushi Restaurant","4.7","3",,"Schmiechastraße 54","Albstadt","Restaurant","8",
"Brokkoli Bowls & More","4.1","120","€10–20","Friedrichstraße 40","Balingen","Restaurant","13",
"Hechinger Hof","4.7","79","$87","Staig 24","Hechingen","Hotel","6",
"La Galleria","4.5","50","€20–30","Neue Str. 11","Balingen","Italian restaurant","10",
"King Kebap","5","12","€1–10","Obertorpl. 19","Hechingen","Restaurant","5",
"Landgasthaus Krone Freudenweiler","4.5","230","€20–30","Ebinger Str. 29","Neufra","German restaurant","3",
"dablju - Restaurant & Bar","4.9","38",,"Ebertstraße 15","Balingen","Restaurant","2",
"Krone Heselwangen","4.6","119","€20–30","Bürgermeister-Jetter-Straße 1","Balingen","Restaurant","7",
"Schützenhaus Geislingen","4.4","95","€10–30","Hörnleweg 1","Geislingen","German restaurant","1",
"Gaststätte Schmiedeeck","3.8","86","€10–20","Schloßstraße 2","Jagsthausen","Restaurant","60","Now: Usually not busy"
"Gaststätte Ochsen","4.3","135","$","Schweizer Str. 1","Balingen","German restaurant","4",
"Kebaphouse 57","3.7","149","€1–20","Hauptstraße 10","Jagsthausen","Restaurant","58","Now: Usually not too busy"
"Schlosshotel Ingelfingen","4.5","339","$123","Schloßstraße 14","Ingelfingen","Hotel","57",
"Kral Döner - Mesut Somuncu","4.4","117","€1–10","Seedammstraße 3","Osterburken","Turkish restaurant","56","Now: Usually a little busy"
"Bierbrunnen","4.2","5",,"Hauptstraße 3","Dörzbach","Gastropub","55",
"Scheierle Vesperstube Belsenberg (Inh. Irene Hertrich)","4.6","78","€10–20","Heilig-Kreuz-Straße 57","Künzelsau","Gastropub","53",
"Stadthalle Niedernhall - Restaurant","4.1","198","€10–20","Brückenwiesenweg 2","Niedernhall","Restaurant","59",
"Kocherwerk Bistro","4.8","11","€1–10","Mühlgasse 14","Forchtenberg","Restaurant","51",
"Hotel Landgasthof Lell","4.4","391","$84","Leimengrube 5","Künzelsau","Inn","50",
"Döner Krautheim","4","232","€10–20","Schulstraße 1","Krautheim","Fast food restaurant","49","Less busy than usual"
"Das Casa Eisautomat Widdern","5","1",,"Heilbronner Str. 13","Widdern","Sundae restaurant","48",
"Stuppach","4.4","48",,"Rengershäuser Str. 42","Bad Mergentheim","Restaurant","47",
"Gaststätte SV Westernhausen","4.3","113","€10–20","Brückenstraße 32","Schöntal","Restaurant","46","Now: Usually a little busy"
"Lu Salentu Da Alessio","3.9","29","€10–20","Hauptstraße 8","Weißbach","Southern Italian restaurant","52","Now: Usually as busy as it gets"
"Krone","4.7","181","€20–30","Keltergasse 2","Ingelfingen","Restaurant","44",
"Straußen","4.4","18","$","Bobstadter Str. 7","Assamstadt","Restaurant","42","Now: Usually not too busy"
"Zur Brücke","4.5","73","£","Jagsthäuser Str. 6","Schöntal","German restaurant","43",
"Duka's Bahnhof","4.5","504","€10–30","Großer Garten 14","Schöntal","Restaurant","54","Now: Usually not too busy"
"Gasthaus Zum Meisenbauer","4.7","19",,"Herrenzimmern 19","Niederstetten","Restaurant","27",
"Tank & Rast Gastronomie","4.4","16",,"Jagsttal West, A81","Widdern","Restaurant","38",
"Ristorante SVO Bei Toni","4.8","16","€10–20","Sportplatzweg 4","Osterburken","Meat dish restaurant","26",
"Hopfengarten Zaisenhausen","5","3",,"Ettetalstraße 41","Mulfingen","Brewpub","22",
"Paulaner am alten Postplatz","4.4","3668","€20–30","Calwer Str. 45","Stuttgart","German restaurant","3","A little busy"
"Gasthaus Krone","4.3","12",,"Herrenwiesenweg 3","Mulfingen","Western restaurant","20",
"Rajas Curry Haus","4.8","131","€10–20","Bahnhofstraße 1","Osterburken","Indian restaurant","30",
"Winklers Weinstube","4.9","270","€20–30","Bahnhofstraße 25","Forchtenberg","Restaurant","18",
"Gasthaus Linde","4.5","210","$88","Dorfstraße 118","Bad Mergentheim","Guest house","17",
"Sofra Pizza & Kebab Ingelfingen","4.1","174","€10–20","Mariannenstraße 46","Ingelfingen","Restaurant","16","Not too busy"
"Mammutstüble","4.6","113","€10–20","Halsberger Str. 20","Schöntal","Restaurant","15",
"Gasthaus Zur Alten Scheuer mit großem Biergarten","4.6","102","€10–20","Rengershäuser Str. 47","Bad Mergentheim","Restaurant","14",
"Haus Nicklass","4.7","716","$107","Künzelsauer Str. 1","Ingelfingen","Hotel","19",
"DOTHENTIC Wok & Sushi Restaurant","4.5","240","€20–30","Criesbacher Str. 40","Niedernhall","Restaurant","12",
"Zum Obergässler","4.1","38",,"Hauptstraße 48","Ingelfingen","Hotel","11",
"Imbiss Figo's","5","3",,,"Rosenberg","Fast food restaurant","45",
"Frankeneck Gaststätte","4.6","102","€10–20","Hauptstraße 64","Niedernhall","Gastropub","8","Now: Usually a little busy"
"Gaststätte Götzenstüble","4.1","74","€10–20","Pfarrgasse 3","Niedernhall","Gastropub","13","Now: Usually a little busy"
"Schützenhaus Wachbach","4.5","15",,"Schützensteige 1","Bad Mergentheim","Restaurant","6",
"Bistro Petri Heil","4.7","159","€10–20","Hauptstraße 9","Weißbach","Bistro","7","Now: Usually a little busy"
"Estia Griechisch Mediterranes Restaurant","4.5","78","€20–30","Jahnstraße 9","Ingelfingen","Greek restaurant","5","Not busy"
"Gasthaus Adler","4.7","110","€10–20","Assamstadter Weg 4","Dörzbach","Restaurant","4",
"Kochstube Bitzer","4.2","55",,"Goldbachstraße 2","Dörzbach","Restaurant","9",
"Stefeles Das Kneipenrestaurant","4.7","178","€50–60","Mergentheimer Str. 20","Assamstadt","Restaurant","1",
"Landgasthof zur Krone","4.4","37","$97","König-Albrecht-Straße 3","Krautheim","Hotel","2",
"Gaststätte Zum Rad","4.7","47","€10–20","Kirchhofweg 2","Krautheim","German restaurant","10",
"RIZZI The Restaurant","4.2","1440","$$$","Augustapl. 1","Baden-Baden","Restaurant","39","Not too busy"
"Ristorante La Gondola","4.6","937","€20–30","Du-Russel-Straße 2","Baden-Baden","Italian restaurant","40",
"Deutscher Kaiser","4.5","292","€20–30","Bühlertalstraße 16","Bühl","German restaurant","172",
"Restaurant STERNTALER","4.6","120",,"Merkurstraße 8","Baden-Baden","Restaurant","168",
"Restaurant ""Zur Theke""","4","409","€10–20","Am Campingpark 1","Rheinmünster","Restaurant","167",
"Pizza Flitza Quelkhorn","3.1","171","€10–20","Quelkhorner Landstraße 17","Ottersberg","Pizza restaurant","59",
"Hotel und Restaurant Bergfriedel","4.7","304",,"Haabergstraße 23","Bühlertal","Restaurant","166",
"Gasthaus Sternen zum Bärle - Rafaila Vlad Bogdan","4.6","238","€10–20","Hauptstraße 33","Iffezheim","Restaurant","165",
"Cafe Klostergarten","4.7","213","€1–10","Bahnhofstraße 5A","Rheinmünster","Cafe","159",
"ebanat - Restaurant im Weingut Kopp","4.4","109",,"Ebenunger Straße 23 76547 Sinzheim","Baden-Baden","Restaurant","161",
"Ristorante Da Michele","4.6","503","$$","Sinzheimer Str. 4","Baden-Baden","Italian restaurant","156",
"Hotel-Restaurant Athos","4.5","392","$88","Fremersbergstraße 23","Baden-Baden","Hotel","154",
"Schneiders Weinstube im Badener Weinkeller","4.7","415","££","Maria-Viktoria-Straße 2","Baden-Baden","Restaurant","153",
"Traube","4.6","205","€20–30","Kappelwindeckstraße 19","Bühl","Greek restaurant","163",
"Restaurant Goldenes Loch","4.4","32","€100+","Mauerbergstraße 21","Baden-Baden","Restaurant","171",
"Restaurant Auerhahn","4.7","292","€20–30","Affentaler Str. 31","Bühl","Italian restaurant","149",
"Zamui","4.3","370","€20–30","Sophienstraße 27-29","Baden-Baden","Vietnamese restaurant","155",
"Restaurant im Golf-Club","4.7","139","££","Fremersbergstraße 127","Baden-Baden","Restaurant","145",
"Asia Restaurant Hong","4.6","536","€10–20","Lichtentaler Str. 77","Baden-Baden","Asian restaurant","141",
"Restaurant - Café Röderswald","4.4","571","€20–30","Röderswaldweg 25","Baden-Baden","German restaurant","140",
"Da Vinci Restaurant","4.4","423","€20–30","Airport Boulevard B 311","Rheinmünster","Restaurant","139",
"Einhorn | Café • Restaurant • Weinbar","4.6","400","€20–30","Luisenstraße 6","Baden-Baden","Restaurant","138",
"Hotel Restaurant Rebstock Kappelwindeck","4.6","314","$131","Kappelwindeckstraße 85","Bühl","Hotel","143",
"Restaurant Brački Gušti","4.4","330","€20–30","Balger Hauptstraße 68","Baden-Baden","Croatian restaurant","136",
"Restaurant Schwarzwaldmädel","4.6","502","€20–30","Längenbergweg 2","Bühlertal","Restaurant","135",
"mömax Restaurant Baden Baden","3.7","50","€1–10","Im Rollfeld 29","Baden-Baden","Restaurant","151",
"Wirtshaus Schwanen","4.6","370","€20–30","Schwanenstraße 4","Bühl","Restaurant","132",
"Hotel-Restaurant Rebenhof","4.6","701","£86","Weinstraße 58","Baden-Baden","Hotel","124",
"House by the lake","4.4","352","$94","Eichenweg 38","Sinzheim","Hotel","119",
"Aumatt Restaurant","4.4","328","€20–30","Aumattstraße 36A","Baden-Baden","Restaurant","118",
"La Luna Restaurant Pizzeria Eisdiele & Lieferservice","4.3","390","€10–20","Hauptstraße 114","Sinzheim","Southern Italian restaurant","117","Now: Usually a little busy"
"filios restaurant","4.6","267",,"Augustapl. 8","Baden-Baden","Restaurant","111",
"Restaurant Santorini","4.4","679","€20–30","Hauptstraße 106","Ottersweier","Greek restaurant","110",
"Restaurant Der Grieche Bruckdorf","4.3","456","€20–30","Bruckdorf 7","Sinzing","Greek restaurant","100","Now: Usually not too busy"
"Gelatomania | Eis & Pizza","4.3","260","€10–20","Seestraße 15","Hagnau am Bodensee","Pizza restaurant","169",
"Schwedi","4.5","552","£130","Schwedi 1","Langenargen","Hotel","153",
"Restaurant San Marino","4.3","315","€10–20","Greflingerstraße 15","Regensburg","Italian restaurant","63","Less busy than usual"
"Restaurant Malereck im BMK Yachthafen","4.6","390","$$$","Argenweg 60/2","Langenargen","German restaurant","166",
"Hotel-Restaurant Hansjakob","4.4","197","$114","Hansjakobstraße 17","Hagnau am Bodensee","Hotel","165",
"Restaurant Keltenschenke","4.2","572","€20–30","Dr.-Fritz-Zimmermann-Straße 3","Hagnau am Bodensee","Restaurant","163",
"Pure Lago - Restaurant & Beach Bar","4.7","228","€10–20","Ob. Seestraße 16/2","Langenargen","Italian restaurant","161",
"Saigon 1996","4.7","72","€1–10","Zähringerpl. 15","Konstanz","Vietnamese restaurant","159",
"Rheinterrasse Konstanz – Restaurant | miCafé | Bar","4.1","358","££","Spanierstraße 5","Konstanz","Restaurant","168",
"Restaurant Hagnauer Hof","4.7","71","€10–20","Hauptstraße 19","Hagnau am Bodensee","German restaurant","162",
"Restaurant See Sicht","4.9","308","€30–40","Seepromenade 4","Meersburg","Fish restaurant","155",
